Поезд/;Месяц операции;Станция отп.;Станция назн.;Тип/;Кол-во;Сумма по бил.;Сумма по плац.;Сервис;Итог;Расстояние
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;2059.4;1123.4;163.4;3346.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;622.5;339.5;163.4;1125.4;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;622.5;339.5;163.4;1125.4;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;720.8;393.1;163.4;1277.3;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;0;2748.8;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;2;3295.2;1797.4;326.8;5419.4;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;0;2748.8;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;2;3295.2;1797.4;326.8;5419.4;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;2;3295.2;1797.4;326.8;5419.4;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;2059.4;1123.4;163.4;3346.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;2059.4;1123.4;163.4;3346.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1591.4;868.1;163.4;2622.9;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1778.6;970.2;163.4;2912.2;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;П/3Э ;1;1647.6;898.7;163.4;2709.7;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;К/2К ;1;2787.5;1858.3;164;4809.8;1790
0306С/А ;3;АДЛЕР ;МОСКВА КАЗ ;Л/1Э ;2;13171.2;8780.8;2612;24564;1790
